,source,batch_size,input_size,hidden_size,component,FLOPs,energy_consumed_kWh,total_gpu_energy_kWh,total_cpu_energy_kWh,total_ram_energy_kWh,seq_len,peak,num_layers,FLOPs_Activations,FLOPs_Cell_Update,FLOPs_Gates,FLOPs_Hidden_Update,hidden_gates,HEF_Activations,duration_Activations,HEF_Cell_Update,duration_Cell_Update,HEF_Hidden_Update,duration_Hidden_Update,HEF_hidden_gates,duration_hidden_gates,HEF_Gates,duration_Gates
2586,NVIDIA A100 80GB PCIe,384,128,512,Cell Update,393216,0.0010390980181916,0.0005819471322183,0.0002931820942677,0.0001639687917055,4,156.0,1,7.86432e-07,3.93216e-07,0.000201326592,3.93216e-07,0.000805306368,0.004271419554993498,4.720894966487031,0.002116714184812664,4.763260723059721,0.0023854229432769387,4.226697645747849,3.592268048510935,0.025641025641025644,0.6858666939652698,7.526565079064339
1967,NVIDIA A100 80GB PCIe,256,640,256,Hidden Update,131072,0.0008571726849639,0.0004785967717708,0.0002438325497881,0.000134743363405,4,156.0,1,2.62144e-07,1.31072e-07,0.00033554432,1.31072e-07,0.000134217728,0.0016835767015794271,3.9924768615146546,0.0008548966404385433,3.9312594690938143,0.0009401013483015264,3.5749555288825827,0.969805481436775,0.025641025641025644,1.045860684935391,8.226430763435774
3329,NVIDIA A100 80GB PCIe,448,448,384,hidden_gates,528482304,0.00108754505689,0.0006088399315125,0.0003063739892656,0.0001723311361119,4,156.0,1,6.88128e-07,3.44064e-07,0.000616562688,3.44064e-07,0.000528482304,0.0038172375760329616,4.622271299824209,0.001897037036729808,4.650491094977166,0.0021310448198288722,4.139825574791188,2.646132226570371,0.02564102564102564,1.723243332630541,9.174153987977256
2791,NVIDIA A100 80GB PCIe,384,384,576,Cell Update,442368,0.0011133051304067,0.0006233627209191,0.0003138681866499,0.0001760742228377,4,156.0,1,8.84736e-07,4.42368e-07,0.000679477248,4.42368e-07,0.001019215872,0.004715575502974146,4.810767730732025,0.002331045144654578,4.86595862666145,0.0026345447727746446,4.305400063033765,4.2581200585308485,0.025641025641025644,1.8654845084510494,9.339393310174309
1210,NVIDIA A100 80GB PCIe,192,320,192,Activations,147456,0.0005214829017827,0.0002922688449196,0.0001483476509002,8.08664059628732e-05,4,156.0,1,1.47456e-07,7.3728e-08,9.437184e-05,7.3728e-08,5.6623104e-05,0.0010300980732059887,3.6704496156911124,0.000530080622166156,3.5663660571786857,0.000576105288678286,3.2814514562063453,0.5134769833149562,0.025641025641025644,0.36585132497273604,6.614136956893888
1011,NVIDIA A100 80GB PCIe,192,64,192,Cell Update,73728,0.0004652930065379,0.0002606802085374,0.0001326857297596,7.19270682409652e-05,4,156.0,1,1.47456e-07,7.3728e-08,1.8874368e-05,7.3728e-08,5.6623104e-05,0.0010300980732059887,3.6704496156911124,0.000530080622166156,3.5663660571786857,0.000576105288678286,3.2814514562063453,0.5134769833149562,0.025641025641025644,0.09580169037419924,5.0516661235916
3779,NVIDIA A100 80GB PCIe,512,384,384,hidden_gates,603979776,0.0012130642029111,0.0006795760992162,0.0003411987493476,0.0001922893543473,4,156.0,1,7.86432e-07,3.93216e-07,0.000603979776,3.93216e-07,0.000603979776,0.004271419554993498,4.720894966487031,0.002116714184812664,4.763260723059721,0.0023854229432769387,4.226697645747849,2.91597663039144,0.02564102564102564,1.6944514001177085,9.13963122341609
2775,NVIDIA A100 80GB PCIe,384,384,384,Activations,589824,0.0010451329573718,0.000585745468598,0.0002943175573983,0.0001650699313754,4,156.0,1,5.89824e-07,2.94912e-07,0.000452984832,2.94912e-07,0.000452984832,0.0033515842526442314,4.512401052057837,0.0016711923107951764,4.524821054405236,0.001870602903388741,4.042464672832105,2.365050547689933,0.025641025641025644,1.3386839521413216,8.676428572799928
2882,NVIDIA A100 80GB PCIe,384,512,448,Hidden Update,344064,0.0012067767975923,0.0006753347069334,0.0003404263037297,0.0001910157869291,4,156.0,1,6.88128e-07,3.44064e-07,0.000704643072,3.44064e-07,0.000616562688,0.0038172375760329616,4.622271299824209,0.001897037036729808,4.650491094977166,0.0021310448198288722,4.139825574791188,2.9599844813145992,0.02564102564102564,1.9216212354373454,9.402358146198878
2381,NVIDIA A100 80GB PCIe,320,512,448,Cell Update,286720,0.0009735930142877,0.0005435296014937,0.0002765264142765,0.0001535369985174,4,156.0,1,5.7344e-07,2.8672e-07,0.00058720256,2.8672e-07,0.00051380224,0.0032727324220947836,4.4927564637803155,0.0016328790618709537,4.5023511192379315,0.0018265348338440603,4.024995710770293,2.5924197708362606,0.02564102564102564,1.6558744665580223,9.092764096262075
2530,NVIDIA A100 80GB PCIe,384,64,448,Activations,688128,0.000963831896611,0.0005397043206549,0.0002720355956838,0.0001520919802722,4,156.0,1,6.88128e-07,3.44064e-07,8.8080384e-05,3.44064e-07,0.000616562688,0.0038172375760329616,4.622271299824209,0.001897037036729808,4.650491094977166,0.0021310448198288722,4.139825574791188,2.9599844813145992,0.02564102564102564,0.3454658992169057,6.537465462538666
3198,NVIDIA A100 80GB PCIe,448,256,640,compute_gates,587202560,0.0011193742799324,0.0006267677236344,0.0003153665914597,0.0001772399648382,4,156.0,1,1.14688e-06,5.7344e-07,0.00058720256,5.7344e-07,0.0014680064,0.005858706939893864,5.0193975887300875,0.0028808245745292962,5.103951789911467,0.003277469619253401,4.48626271231133,5.532048505592925,0.02564102564102564,1.6558744665580223,9.092764096262075
3238,NVIDIA A100 80GB PCIe,448,320,512,compute_gates,587202560,0.0011320253573512,0.0006338824515452,0.0003188385517373,0.0001793043540686,4,156.0,1,9.17504e-07,4.58752e-07,0.00058720256,4.58752e-07,0.000939524096,0.004861598626682246,4.839096230738925,0.0024014134793264945,4.898311721882578,0.0027165282113427555,4.330112143049497,4.015422456520298,0.02564102564102564,1.6558744665580223,9.092764096262075
3241,NVIDIA A100 80GB PCIe,448,320,576,Cell Update,516096,0.0012659707602164,0.0007087605670079,0.0003566447611489,0.0002005654320595,4,156.0,1,1.032192e-06,5.16096e-07,0.00066060288,5.16096e-07,0.001189085184,0.0053653720544075394,4.9328287526155625,0.002643852637582627,5.005283040786421,0.0029996856512997288,4.411539176945746,4.757260864790111,0.02564102564102564,1.8231036691882256,9.291043439212437
3130,NVIDIA A100 80GB PCIe,448,192,448,Activations,802816,0.0011603249890466,0.0006493724639362,0.0003270357155172,0.0001839168095931,4,156.0,1,8.02816e-07,4.01408e-07,0.000308281344,4.01408e-07,0.000719323136,0.004346108376115113,4.736427134250648,0.0021527883330708145,4.781014771587512,0.0024272896380167215,4.240331544826508,3.310266661173247,0.02564102564102564,0.9752947962385186,8.10488262281334
2925,NVIDIA A100 80GB PCIe,384,576,384,Activations,589824,0.0010994441844986,0.0006152588255403,0.000309986183822,0.0001741991751361,4,156.0,1,5.89824e-07,2.94912e-07,0.000679477248,2.94912e-07,0.000452984832,0.0033515842526442314,4.512401052057837,0.0016711923107951764,4.524821054405236,0.001870602903388741,4.042464672832105,2.365050547689933,0.025641025641025644,1.8654845084510494,9.339393310174309
3424,NVIDIA A100 80GB PCIe,448,576,320,hidden_gates,367001600,0.0011126408958924,0.0006226818870374,0.0003135823786434,0.0001763766302115,4,156.0,1,5.7344e-07,2.8672e-07,0.00066060288,2.8672e-07,0.0003670016,0.0032727324220947836,4.4927564637803155,0.0016328790618709537,4.5023511192379315,0.0018265348338440603,4.024995710770293,2.028200400090279,0.025641025641025644,1.8231036691882256,9.291043439212437
905,NVIDIA A100 80GB PCIe,128,576,128,Activations,65536,0.0004015204286058,0.0002251449023304,0.000114603396127,6.177213014830994e-05,4,156.0,1,6.5536e-08,3.2768e-08,7.5497472e-05,3.2768e-08,1.6777216e-05,0.0005143640264744858,3.266966914323295,0.0002697752370407151,3.114463497175326,0.00028857178067117804,2.911598376843804,0.20910711848989058,0.025641025641025644,0.30391432884985636,6.369665499848742
2018,NVIDIA A100 80GB PCIe,320,64,256,compute_gates,41943040,0.0007359581655442,0.0004110706066242,0.0002091947518001,0.0001156928071199,4,156.0,1,3.2768e-07,1.6384e-07,4.194304e-05,1.6384e-07,0.00016777216,0.0020358984876796098,4.126950008999426,0.0010285499469806887,4.084415786863597,0.0011364023568147391,3.69677660014789,1.1427133847139936,0.02564102564102564,0.1863470004225349,5.771289914321092
2730,NVIDIA A100 80GB PCIe,384,320,448,Activations,688128,0.0010268927948978,0.0005752110157324,0.0002894125006964,0.0001622692784689,4,156.0,1,6.88128e-07,3.44064e-07,0.00044040192,3.44064e-07,0.000616562688,0.0038172375760329616,4.622271299824209,0.001897037036729808,4.650491094977166,0.0021310448198288722,4.139825574791188,2.9599844813145992,0.02564102564102564,1.3080729874232766,8.632818681869816
3235,NVIDIA A100 80GB PCIe,448,320,512,Activations,917504,0.0012039566102985,0.0006748002620575,0.0003386831395574,0.0001904732086835,4,156.0,1,9.17504e-07,4.58752e-07,0.00058720256,4.58752e-07,0.000939524096,0.004861598626682246,4.839096230738925,0.0024014134793264945,4.898311721882578,0.0027165282113427555,4.330112143049497,4.015422456520298,0.02564102564102564,1.6558744665580223,9.092764096262075
756,NVIDIA A100 80GB PCIe,128,384,128,Cell Update,32768,0.0003717767562681,0.0002083340555536,0.0001066824234014,5.676027731312229e-05,4,156.0,1,6.5536e-08,3.2768e-08,5.0331648e-05,3.2768e-08,1.6777216e-05,0.0005143640264744858,3.266966914323295,0.0002697752370407151,3.114463497175326,0.00028857178067117804,2.911598376843804,0.20910711848989058,0.025641025641025644,0.21689300255736163,5.950192314672597
2221,NVIDIA A100 80GB PCIe,320,320,320,Cell Update,204800,0.0009000142479481,0.0005019015126386,0.000256140659079,0.0001419720762305,4,156.0,1,4.096e-07,2.048e-07,0.000262144,2.048e-07,0.000262144,0.002461016381469516,4.267571797426573,0.001237076603468106,4.244912591960955,0.001373403024104324,3.8235550374637612,1.5855321307195236,0.025641025641025644,0.8531517127753329,7.87859993127751
1964,NVIDIA A100 80GB PCIe,256,640,192,hidden_gates,75497472,0.0006705582862438,0.0003747314108935,0.0001905028179576,0.0001053240573926,4,156.0,1,1.96608e-07,9.8304e-08,0.00025165824,9.8304e-08,7.5497472e-05,0.0013171779039906424,3.827296794121278,0.0006732933189272896,3.7437106737243466,0.0007360166264374694,3.4246717996248033,0.634832929318171,0.02564102564102564,0.8248608874667118,7.822865022043846
2545,NVIDIA A100 80GB PCIe,384,64,640,Activations,983040,0.0009715303979152,0.0005444062688546,0.0002737279889822,0.0001533961400783,4,156.0,1,9.8304e-07,4.9152e-07,0.00012582912,4.9152e-07,0.0012582912,0.005150814742473613,4.89362462181059,0.002540657416432241,4.960557390210836,0.0028790276809413325,4.377546282902079,4.95429507099548,0.02564102564102564,0.464574933243231,6.944816565508706
3744,NVIDIA A100 80GB PCIe,512,320,576,hidden_gates,1358954496,0.0012147554232137,0.0006811388782423,0.0003412800999683,0.000192336445003,4,156.0,1,1.179648e-06,5.89824e-07,0.00075497472,5.89824e-07,0.001358954496,0.005997889476234551,5.043004666096947,0.002947608989100302,5.130833961905004,0.0033559305857044407,4.50655695088452,5.235058791418484,0.02564102564102564,2.0326806514147315,9.523545245719191
2020,NVIDIA A100 80GB PCIe,320,64,320,Activations,409600,0.0007844870846063,0.0004380856282431,0.0002230435509346,0.0001233579054285,4,156.0,1,4.096e-07,2.048e-07,5.24288e-05,2.048e-07,0.000262144,0.002461016381469516,4.267571797426573,0.001237076603468106,4.244912591960955,0.001373403024104324,3.8235550374637612,1.5855321307195236,0.025641025641025644,0.22438939775211267,5.991050462256291
