operation,gpu_util,mem_used_MB,elapsed_time_sec,FLOPs,energy_consumed_kWh,total_gpu_energy_kWh,total_cpu_energy_kWh,total_ram_energy_kWh,seq_len,input_size,hidden_size,batch_size,time_step
Cell Update_t1,0,4969,0.0002467840015888214,9830400,9.320730739441575e-05,5.4353099031345664e-05,2.581383565105136e-05,1.3040372712018734e-05,4,640,1280,3840,1
Hidden Update_t1,0,4969,0.00019353599846363067,9830400,0.00010413585292333453,6.028615933573178e-05,2.9119585517870493e-05,1.4730108069732255e-05,4,640,1280,3840,1
h_Gates_t2,0,4969,0.0006246399879455566,50331648000,0.00011550680174679965,6.70119980554773e-05,3.219974159310562e-05,1.6295062098216725e-05,4,640,1280,3840,2
Gates_t2,0,4969,0.0006184960007667541,25165824000,0.00012739754427845655,7.423728161626286e-05,3.531144380468712e-05,1.784881885750656e-05,4,640,1280,3840,2
Activations_t2,0,4969,0.00023039999604225158,19660800,0.0001367547154048358,7.889284088946624e-05,3.8426341574381885e-05,1.9435532940987656e-05,4,640,1280,3840,2
Cell Update_t2,0,4969,0.00024063999950885772,9830400,0.00014808344041585846,8.559229069504681e-05,4.1506103204854566e-05,2.0985046515957078e-05,4,640,1280,3840,2
Hidden Update_t2,0,4969,0.0001955839991569519,9830400,0.0001599761590568241,9.279396311967503e-05,4.4641798768966547e-05,2.2540397168182512e-05,4,640,1280,3840,2
h_Gates_t3,0,4969,0.0006174719929695129,50331648000,0.00016962024616821216,9.742007793889229e-05,4.7959589756527664e-05,2.4240578472792205e-05,4,640,1280,3840,3
Gates_t3,0,4969,0.0006164479851722718,25165824000,0.00018368617859967502,0.00010672425204560909,5.1130458959889984e-05,2.5831467594175945e-05,4,640,1280,3840,3
Activations_t3,0,4969,0.0002385919988155365,19660800,0.00019350315412916706,0.00011140342245496981,5.454715613768986e-05,2.7552575536507375e-05,4,640,1280,3840,3
Cell Update_t3,0,4969,0.00023244799673557281,9830400,0.0002061257358126164,0.00011938009550149786,5.76286344362029e-05,2.9117005874915625e-05,4,640,1280,3840,3
Hidden Update_t3,0,4969,0.00019968000054359437,9830400,0.00021669877130128893,0.00012530843357794197,6.070941773416057e-05,3.068091998918636e-05,4,640,1280,3840,3
h_Gates_t0,0,4969,0.001017856001853943,113246208000,2.605970294727096e-06,2.077501662256509e-06,4.09622827700698e-07,1.1884580476988906e-07,4,640,1920,3840,0
Gates_t0,1,4969,0.0008314880132675171,37748736000,1.4979911290152258e-05,9.37334081996255e-06,3.7770746883249162e-06,1.8294957818647921e-06,4,640,1920,3840,0
Activations_t0,0,4969,0.0002795520126819611,29491200,2.687903326253707e-05,1.6104735102828727e-05,7.215501605729695e-06,3.5587965539786502e-06,4,640,1920,3840,0
Cell Update_t0,0,4969,0.0002908160090446472,14745600,3.879942083636541e-05,2.3307518645765413e-05,1.0373494409901193e-05,5.1184077806987995e-06,4,640,1920,3840,0
Hidden Update_t0,0,4969,0.00021299199759960174,14745600,4.8188218831204344e-05,2.7945577912191766e-05,1.3553001675726747e-05,6.689639243285828e-06,4,640,1920,3840,0
h_Gates_t1,0,4969,0.0011089919805526733,113246208000,6.273757907644786e-05,3.72066964260398e-05,1.706180614943504e-05,8.469076500973016e-06,4,640,1920,3840,1
Gates_t1,0,4969,0.0007751680016517639,37748736000,7.211715438221844e-05,4.1938644656625e-05,2.0138461388534423e-05,1.0040048337059006e-05,4,640,1920,3840,1
Activations_t1,0,4969,0.00028569599986076356,29491200,8.356563779223351e-05,4.868059449236739e-05,2.3263692222049576e-05,1.1621351077816535e-05,4,640,1920,3840,1
Cell Update_t1,0,4969,0.0003061760067939758,14745600,9.547913987862588e-05,5.588365580777577e-05,2.6387876110285126e-05,1.3207607960564976e-05,4,640,1920,3840,1
Hidden Update_t1,0,4969,0.00023756800591945648,14745600,0.00010477523396815872,6.052532619094109e-05,2.947901386097119e-05,1.4770893916246425e-05,4,640,1920,3840,1
h_Gates_t2,0,4969,0.0010946559906005859,113246208000,0.00011746591301892957,6.849922146301424e-05,3.2624643877473235e-05,1.634204767844209e-05,4,640,1920,3840,2
Gates_t2,1,4969,0.0007946239709854126,37748736000,0.00012818624093082935,7.452200406277143e-05,3.57385158130134e-05,1.7925721055044498e-05,4,640,1920,3840,2
Activations_t2,0,4969,0.0002815999984741211,29491200,0.00013995739158606695,8.127589835638105e-05,3.905466679926528e-05,1.9626826430420603e-05,4,640,1920,3840,2
Cell Update_t2,0,4969,0.00029491201043128966,14745600,0.0001524579388820466,8.846868188072676e-05,4.25647557184463e-05,2.1424501282873508e-05,4,640,1920,3840,2
Hidden Update_t2,0,4969,0.00021606400609016418,14745600,0.00016181644053532297,9.310340781354398e-05,4.569833183641538e-05,2.3014700885363585e-05,4,640,1920,3840,2
h_Gates_t3,0,4969,0.0011038719415664673,113246208000,0.00017578611463114763,0.00010235397076741037,4.884556352086587e-05,2.458658034287136e-05,4,640,1920,3840,3
Gates_t3,0,4969,0.0007772160172462464,37748736000,0.00018530569774307792,0.00010715508572545218,5.1969968242608286e-05,2.6180643775017412e-05,4,640,1920,3840,3
Activations_t3,0,4969,0.00028057599067687986,29491200,0.00019717377566318817,0.00011389814667239762,5.5367647627416715e-05,2.7907981363373817e-05,4,640,1920,3840,3
Cell Update_t3,0,4969,0.0002969599962234497,14745600,0.0002091063663135188,0.00012110093020467616,5.850503402621363e-05,2.9500402082628974e-05,4,640,1920,3840,3
Hidden Update_t3,0,4969,0.00021606400609016418,14745600,0.00021850431577711768,0.0001257289894667224,6.168530823709786e-05,3.109001807329738e-05,4,640,1920,3840,3
h_Gates_t0,0,4969,0.0016783360242843628,201326592000,5.213963587525875e-07,0.0,3.6439529151749417e-07,1.5700106723509335e-07,4,640,2560,3840,0
Gates_t0,1,4969,0.0010065920352935792,50331648000,1.5034283141445452e-05,9.431951990990228e-06,3.7150293609091584e-06,1.8873017895460662e-06,4,640,2560,3840,0
Activations_t0,0,4969,0.000347135990858078,39321600,2.486393749208231e-05,1.4129455742306618e-05,7.134557652084886e-06,3.5999240976908063e-06,4,640,2560,3840,0
Cell Update_t0,0,4969,0.00033689600229263304,19660800,3.9302026390432466e-05,2.3385852042423494e-05,1.0551254552106093e-05,5.364919795902879e-06,4,640,2560,3840,0
Hidden Update_t0,0,4969,0.0002560000121593475,19660800,4.8712595661943493e-05,2.8031411311246757e-05,1.3721551810565516e-05,6.959632540131219e-06,4,640,2560,3840,0
h_Gates_t1,0,4969,0.0018114559650421142,201326592000,6.005508973311778e-05,3.472363888690211e-05,1.6801657052426672e-05,8.529793793789e-06,4,640,2560,3840,1
Gates_t1,1,4969,0.0009707520008087158,50331648000,7.263167677897278e-05,4.214836704719005e-05,2.0207588666058124e-05,1.0275721065724606e-05,4,640,2560,3840,1
Activations_t1,1,4969,0.00034508800506591797,39321600,8.449140752671565e-05,4.889642800165461e-05,2.359164637330026e-05,1.2003333151760773e-05,4,640,2560,3840,1
Cell Update_t1,0,4969,0.00034303998947143557,19660800,9.652302494660386e-05,5.610282265777755e-05,2.6805276166426938e-05,1.3614926122399363e-05,4,640,2560,3840,1
Hidden Update_t1,0,4969,0.00024166400730609895,19660800,0.0001084253801371756,6.279810579457035e-05,3.0249700310852265e-05,1.5377574031752974e-05,4,640,2560,3840,1
h_Gates_t2,1,4969,0.0018288639783859252,201326592000,0.000120436011772401,6.99936671040291e-05,3.3444753422447356e-05,1.6997591245924537e-05,4,640,2560,3840,2
Gates_t2,1,4969,0.000971776008605957,50331648000,0.00012994073250520205,7.475311536353502e-05,3.661376206876444e-05,1.8573855072902563e-05,4,640,2560,3840,2
Activations_t2,0,4969,0.0003461120128631592,39321600,0.00014157482201134901,8.150117631089415e-05,3.9853021049057746e-05,2.0220624651397095e-05,4,640,2560,3840,2
Cell Update_t2,0,4969,0.0003409920036792755,19660800,0.0001535629049078915,8.870479318190405e-05,4.304551860305483e-05,2.1812593122932595e-05,4,640,2560,3840,2
Hidden Update_t2,0,4969,0.00023449599742889405,19660800,0.00016545123268006556,9.540840966337782e-05,4.648861191308175e-05,2.3554211103605962e-05,4,640,2560,3840,2
h_Gates_t3,0,4969,0.0018165760040283203,201326592000,0.00017735551717129084,0.00010259785985766712,4.961389774664048e-05,2.5143759566983224e-05,4,640,2560,3840,3
Gates_t3,1,4969,0.0009687039852142334,50331648000,0.00018690043554241695,0.0001074009192585379,5.2760133874739205e-05,2.6739382409139845e-05,4,640,2560,3840,3
Activations_t3,1,4969,0.0003461120128631592,39321600,0.00019841014704634287,0.00011416286911014595,5.590904444942313e-05,2.833823348677379e-05,4,640,2560,3840,3
Cell Update_t3,0,4969,0.0003409920036792755,19660800,0.00021036863916991326,0.0001213812082205834,5.905522113302825e-05,2.9932209816301605e-05,4,640,2560,3840,3
Hidden Update_t3,0,4969,0.0002611199915409088,19660800,0.00022190975824582036,0.00012809315802542187,6.22721609287993e-05,3.154443929159917e-05,4,640,2560,3840,3
h_Gates_t0,0,4969,0.0023900160789489745,314572800000,4.844681351178188e-07,0.0,3.640941801620265e-07,1.203739549557923e-07,4,640,3200,3840,0
Gates_t0,1,4969,0.001193984031677246,62914560000,1.526693615204434e-05,9.562785425742959e-06,3.8125194388996184e-06,1.8916312874017644e-06,4,640,3200,3840,0
Activations_t0,0,4969,0.0003932160139083862,49152000,2.5145118509027685e-05,1.4266678082464068e-05,7.2384349574091886e-06,3.6400054691544278e-06,4,640,3200,3840,0
Cell Update_t0,0,4969,0.0004126720130443573,24576000,3.663267137203998e-05,2.09702945532797e-05,1.0409181105114698e-05,5.253195713645576e-06,4,640,3200,3840,0
Hidden Update_t0,0,4969,0.00026624000072479246,24576000,4.852821282642026e-05,2.8175300318622476e-05,1.3520408594094695e-05,6.832503913703086e-06,4,640,3200,3840,0
h_Gates_t1,0,4969,0.0025180160999298097,314572800000,6.0346855840143507e-05,3.486919455752968e-05,1.690554685775808e-05,8.572114424855745e-06,4,640,3200,3840,1
Gates_t1,1,4969,0.0011253759860992431,62914560000,7.306095813073902e-05,4.2309478288871105e-05,2.041284688581932e-05,1.0338632956048594e-05,4,640,3200,3840,1
Activations_t1,1,4969,0.0004126720130443573,49152000,8.464758911720419e-05,4.9093094823149386e-05,2.3629337514564745e-05,1.1925156779490057e-05,4,640,3200,3840,1
