operation,gpu_util,mem_used_MB,elapsed_time_sec,FLOPs,energy_consumed_kWh,total_gpu_energy_kWh,total_cpu_energy_kWh,total_ram_energy_kWh,seq_len,input_size,hidden_size,batch_size,time_step
h_Gates_t3,0,1113,0.00022835199534893035,52428800,8.647558570901906e-05,4.9974762205806655e-05,2.5272850496041444e-05,1.1227973007170967e-05,4,64,320,64,3
Gates_t3,0,1113,0.0003532800078392029,10485760,8.988991820897522e-05,5.124087433117097e-05,2.6752792791106747e-05,1.1896251086697514e-05,4,64,320,64,3
Activations_t3,0,1113,0.00019763199985027314,81920,9.665265369904175e-05,5.5795044641371305e-05,2.8299730695322683e-05,1.2557878362347768e-05,4,64,320,64,3
Cell Update_t3,0,1113,0.0002242559939622879,40960,0.0001020902548107371,5.9057269471196605e-05,2.9801038285256348e-05,1.3231947054284151e-05,4,64,320,64,3
Hidden Update_t3,0,1113,0.00020070399343967437,40960,0.0001055567245241254,6.032143714662652e-05,3.1324911171021555e-05,1.3910376206477321e-05,4,64,320,64,3
h_Gates_t0,0,1113,0.0002385919988155365,75497472,2.591270059586994e-06,2.0252793930808366e-06,4.439911885281006e-07,1.2199947797805663e-07,4,64,384,64,0
Gates_t0,0,1113,0.00022630399465560914,12582912,7.561366491200292e-06,4.543336963536149e-06,2.130857815797055e-06,8.871717118670883e-07,4,64,384,64,0
Activations_t0,0,1113,5.3247999399900436e-05,98304,1.4910405413794972e-05,9.091951717721258e-06,4.054159632213561e-06,1.7642940638601536e-06,4,64,384,64,0
Cell Update_t0,0,1113,6.758400052785873e-05,49152,2.0466455921953745e-05,1.2384454354474883e-05,5.615796159303896e-06,2.4662054081749656e-06,4,64,384,64,0
Hidden Update_t0,0,1113,4.300799965858459e-05,49152,2.626817018412996e-05,1.567806809887884e-05,7.334844201204935e-06,3.255257884046185e-06,4,64,384,64,0
h_Gates_t1,0,1113,8.396799862384797e-05,75497472,3.116056628733012e-05,1.8195292330602797e-05,8.986689411571991e-06,3.978584545155332e-06,4,64,384,64,1
Gates_t1,0,1113,0.00021503999829292298,12582912,3.8132965610313605e-05,2.275029597598177e-05,1.066057825067912e-05,4.722091383652717e-06,4,64,384,64,1
Activations_t1,0,1113,6.246399879455566e-05,98304,4.394573632826083e-05,2.6035020820103227e-05,1.240196658823349e-05,5.508748919924118e-06,4,64,384,64,1
Cell Update_t1,0,1113,6.758400052785873e-05,49152,4.9899708794360794e-05,2.9337245692317993e-05,1.4235496666167857e-05,6.326966435874954e-06,4,64,384,64,1
Hidden Update_t1,0,1113,6.143999844789505e-05,49152,5.5007689552768485e-05,3.1857525485179394e-05,1.6043346445778622e-05,7.106817621810481e-06,4,64,384,64,1
h_Gates_t2,0,1113,8.601599931716918e-05,75497472,6.207464171109037e-05,3.64089180138194e-05,1.7762483376645294e-05,7.903240320625693e-06,4,64,384,64,2
Gates_t2,0,1113,0.0002170879989862442,12582912,6.927500238287304e-05,4.096419943522278e-05,1.9595343731819773e-05,8.715459215830496e-06,4,64,384,64,2
Activations_t2,0,1113,6.656000018119811e-05,98304,7.379661756331479e-05,4.299836773213883e-05,2.1304054543229076e-05,9.494195287946898e-06,4,64,384,64,2
Cell Update_t2,0,1113,0.00021401600539684294,49152,7.876003395327963e-05,4.551309196898501e-05,2.2988844224396815e-05,1.0258097759897817e-05,4,64,384,64,2
