operation,gpu_util,mem_used_MB,elapsed_time_sec,FLOPs,energy_consumed_kWh,total_gpu_energy_kWh,total_cpu_energy_kWh,total_ram_energy_kWh,seq_len,input_size,hidden_size,batch_size,time_step
Gates_t2,0,3165,0.0007034879922866821,31457280000,7.043651772195636e-05,4.146669984095297e-05,1.9900330364696424e-05,9.069487516306959e-06,4,640,9600,640,2
Activations_t2,2,3165,0.00022937600314617158,24576000,7.78660136142937e-05,4.609781465703122e-05,2.1821945790876274e-05,9.946253166386198e-06,4,640,9600,640,2
Cell Update_t2,2,3165,0.0002242559939622879,12288000,8.14375965864049e-05,4.740503792532991e-05,2.339389399287975e-05,1.0638664668195236e-05,4,640,9600,640,2
Hidden Update_t2,2,3165,0.00013414399325847626,12288000,8.823104831037965e-05,5.198893048330433e-05,2.4941658008866582e-05,1.1300459818208737e-05,4,640,9600,640,2
h_Gates_t3,0,3165,0.0037754878997802734,471859200000,9.368647623146065e-05,5.5250044201926585e-05,2.6466827840114114e-05,1.1969604189419953e-05,4,640,9600,640,3
Gates_t3,0,3165,0.0007106559872627258,31457280000,9.98805447142656e-05,5.9051436139156976e-05,2.81280269468486e-05,1.2701081628260016e-05,4,640,9600,640,3
Activations_t3,2,3165,0.0002938880026340485,24576000,0.00010494470851841343,6.164032709676803e-05,2.9824340526120883e-05,1.3480040895524519e-05,4,640,9600,640,3
Cell Update_t3,2,3165,0.0002703360021114349,12288000,0.00011211214303603956,6.623338632394393e-05,3.158859915974963e-05,1.4290157552345997e-05,4,640,9600,640,3
Hidden Update_t3,2,3165,0.00023654399812221528,12288000,0.00011775697106123173,6.949755560370363e-05,3.3228246304797685e-05,1.503116915273041e-05,4,640,9600,640,3
h_Gates_t0,0,5665,0.006082560062408447,838860800000,1.7860682002849251e-06,1.3019454883078652e-06,3.6417501356243807e-07,1.1994769841462194e-07,4,640,12800,640,0
Gates_t0,0,5665,0.0009185280203819275,41943040000,9.00183215818389e-06,5.474448823150624e-06,2.431673612003204e-06,1.095709723030064e-06,4,640,12800,640,0
Activations_t0,0,5665,0.00026419198513031006,32768000,1.6135057449122195e-05,1.0085563616257787e-05,4.160953328759482e-06,1.8885405041049255e-06,4,640,12800,640,0
Cell Update_t0,5,5665,0.0003112959861755371,16384000,1.9535421638997647e-05,1.138806465661446e-05,5.6307700601684755e-06,2.51658692221471e-06,4,640,12800,640,0
Hidden Update_t0,5,5665,0.0002385919988155365,16384000,2.6274591330772268e-05,1.5979457227643934e-05,7.134968763526542e-06,3.1601653396017906e-06,4,640,12800,640,0
h_Gates_t1,5,5665,0.006490111827850342,838860800000,3.2135724885096694e-05,1.9244182063005155e-05,8.911382684655242e-06,3.980160137436298e-06,4,640,12800,640,1
Gates_t1,0,5665,0.0008755199909210205,41943040000,3.559178314596509e-05,2.055140533130384e-05,1.040447665690827e-05,4.635901157752982e-06,4,640,12800,640,1
Activations_t1,0,5665,0.0003246079981327057,32768000,4.330498760411761e-05,2.6129743122993432e-05,1.1886597564825002e-05,5.288646916299183e-06,4,640,12800,640,1
Cell Update_t1,0,5665,0.000317440003156662,16384000,4.8793791131160994e-05,2.9430856876899725e-05,1.3413699897617281e-05,5.949234356643998e-06,4,640,12800,640,1
Hidden Update_t1,4,5665,0.00023449599742889405,16384000,5.223531236750233e-05,3.073641347839384e-05,1.4895227471727122e-05,6.603671417381372e-06,4,640,12800,640,1
h_Gates_t2,4,5665,0.0065075201988220215,838860800000,5.941820399379362e-05,3.532475047407502e-05,1.6670726392124715e-05,7.422727127593892e-06,4,640,12800,640,2
Gates_t2,4,5665,0.0008724480271339416,41943040000,6.574065353387727e-05,3.9499753821559125e-05,1.8164269253626215e-05,8.076630458691941e-06,4,640,12800,640,2
Activations_t2,3,5665,0.0003481599986553192,32768000,6.917991290321865e-05,4.080531042305324e-05,1.9657562670482003e-05,8.717039809683409e-06,4,640,12800,640,2
Cell Update_t2,3,5665,0.00024371199309825898,16384000,7.608585756962104e-05,4.5508925293091806e-05,2.1208819467041415e-05,9.368112809487824e-06,4,640,12800,640,2
Hidden Update_t2,3,5665,0.00014643199741840363,16384000,8.13559053120074e-05,4.877837235639504e-05,2.2598853912403545e-05,9.978679043208827e-06,4,640,12800,640,2
h_Gates_t3,1,5665,0.006486015796661377,838860800000,8.474007707636895e-05,5.0085317845116606e-05,2.404608062573938e-05,1.060867860551296e-05,4,640,12800,640,3
Gates_t3,1,5665,0.0007383040189743042,41943040000,9.256091634724274e-05,5.566310008475739e-05,2.5595239365063904e-05,1.1302576897421442e-05,4,640,12800,640,3
Activations_t3,1,5665,0.0003256320059299469,32768000,9.81864478403428e-05,5.909143616023016e-05,2.714399949296179e-05,1.1951012187150843e-05,4,640,12800,640,3
Cell Update_t3,4,5665,0.0003123199939727783,16384000,0.00010171087411893701,6.039782609690292e-05,2.8693899899545823e-05,1.2619148122488268e-05,4,640,12800,640,3
Hidden Update_t3,4,5665,0.00023552000522613525,16384000,0.00010843566422455126,6.497810753103295e-05,3.018674803826867e-05,1.3270808655249645e-05,4,640,12800,640,3
h_Gates_t0,0,9573,0.00935321617126465,1310720000000,2.637825748937819e-06,2.1333350375130067e-06,3.87171976404168e-07,1.1731873502064412e-07,4,640,16000,640,0
Gates_t0,7,9573,0.0008929280042648315,52428800000,7.934865540982788e-06,4.744726016525647e-06,2.231382340659783e-06,9.587571837973568e-07,4,640,16000,640,0
Activations_t0,7,9573,0.0003051519989967346,40960000,1.616430473010329e-05,1.0449730581285621e-05,3.960950113202641e-06,1.753624035615026e-06,4,640,16000,640,0
Cell Update_t0,7,9573,0.0002795520126819611,20480000,2.152002405741362e-05,1.374473321646974e-05,5.4066976586882075e-06,2.368593182255671e-06,4,640,16000,640,0
Hidden Update_t0,1,9573,0.00017715199291706084,20480000,2.486602152311505e-05,1.5052789812841638e-05,6.829969075082521e-06,2.9832626351908873e-06,4,640,16000,640,0
h_Gates_t1,1,9573,0.00990719985961914,1310720000000,3.155687903659038e-05,1.9657515725413077e-05,8.287940241459828e-06,3.6114230697174657e-06,4,640,16000,640,1
Gates_t1,1,9573,0.001035264015197754,52428800000,3.792824752178237e-05,2.3859463528452807e-05,9.791536722112055e-06,4.277247271217497e-06,4,640,16000,640,1
Activations_t1,5,9573,0.0003788799941539764,40960000,4.402472295396673e-05,2.724224401617903e-05,1.1680771011275898e-05,5.101707926511795e-06,4,640,16000,640,1
Cell Update_t1,5,9573,0.0003614720106124878,20480000,4.926732214749622e-05,2.9835301646130574e-05,1.3502471913081075e-05,5.929548588284565e-06,4,640,16000,640,1
Hidden Update_t1,1,9573,0.00026419198513031006,20480000,5.606710152694274e-05,3.441030530737521e-05,1.5052711486605408e-05,6.604084732962118e-06,4,640,16000,640,1
