operation,gpu_util,mem_used_MB,elapsed_time_sec,FLOPs,energy_consumed_kWh,total_gpu_energy_kWh,total_cpu_energy_kWh,total_ram_energy_kWh,seq_len,memory_access,d_model
Attention Output,0,611,0.0003997120022773743,2147483648,0.00034206205038611587,0.00013044288213199807,0.00010058376054337098,0.00011103540771074689,128,2189426688,1024
Final Projection,0,611,0.0017304768323898316,17179869184,0.00044192868347145073,0.00016859791265599888,0.00012991915175558552,0.0001434116190598664,128,2189426688,1024
QKV Projections,1,637,0.005765081596374512,58183385088,4.156700706089339e-05,1.5381734527598888e-05,1.245006070305812e-05,1.3735211830236379e-05,128,2326265856,1088
Attention Scores,0,637,0.0005992383837699889,2281701376,0.0001432172418440188,5.3984376520796465e-05,4.241312632138728e-05,4.681973900183505e-05,128,2326265856,1088
attention_softmax,0,637,0.00012887680083513263,65536,0.0002455406740314699,9.330774131279668e-05,7.23523338563982e-05,7.988059886227506e-05,128,2326265856,1088
Attention Output,0,637,0.00040748799443244936,2281701376,0.00034625946546812386,0.00013168171645639785,0.00010198465027027283,0.00011259309874145323,128,2326265856,1088
Final Projection,0,637,0.002009887981414795,19394461696,0.0004463495156710573,0.00016968069129999833,0.00013149649034277028,0.00014517233402828872,128,2326265856,1088
QKV Projections,1,695,0.006113164710998534,65229815808,4.1832996099560706e-05,1.639834645199914e-05,1.2100923828745383e-05,1.333372581881618e-05,128,2463105024,1152
Attention Scores,0,695,0.0006086655974388122,2415919104,0.00014194411947235954,5.427165452839833e-05,4.1681749259028034e-05,4.599071568493319e-05,128,2463105024,1152
attention_softmax,0,695,0.00010743039995431899,65536,0.00024146628157190354,9.194024021879771e-05,7.108574508097237e-05,7.844029627213348e-05,128,2463105024,1152
Attention Output,0,695,0.0004259391963481903,2415919104,0.0003415765737788599,0.00012964221482479748,0.00010074479464180679,0.00011118956431225564,128,2463105024,1152
Final Projection,0,695,0.0020902464389801027,21743271936,0.00044523828103950144,0.00016956608009719917,0.00013103482810263982,0.0001446373728396625,128,2463105024,1152
QKV Projections,1,721,0.00694661750793457,72678899712,4.114474826182295e-05,1.5814345984799944e-05,1.2043587347921201e-05,1.3286814929101805e-05,128,2599944192,1216
Attention Scores,0,721,0.0006443071961402893,2550136832,0.00014238064284344205,5.4204210029998315e-05,4.191467127640042e-05,4.6261761537043356e-05,128,2599944192,1216
attention_softmax,0,721,0.0001159168019890785,65536,0.00024275657210582244,9.229335161239777e-05,7.152181044473133e-05,7.894141004869343e-05,128,2599944192,1216
Attention Output,0,721,0.0004500096023082733,2550136832,0.00034312285424907985,0.00013047693771479907,0.00010107374774904394,0.0001115721687852369,128,2599944192,1216
Final Projection,0,721,0.0023684607982635496,24226299904,0.0004446527591998015,0.0001691366353091986,0.0001309516317554315,0.00014456449213517148,128,2599944192,1216
QKV Projections,1,747,0.007288857650756836,80530636800,4.1615816221096625e-05,1.5669734757998295e-05,1.233565489639116e-05,1.3610426566707172e-05,128,2736783360,1280
Attention Scores,0,747,0.0006881344079971314,2684354560,0.00014296452101974274,5.448026580639753e-05,4.2067173207087266e-05,4.6417082006257965e-05,128,2736783360,1280
