operation,gpu_util,mem_used_MB,elapsed_time_sec,FLOPs,energy_consumed_kWh,total_gpu_energy_kWh,total_cpu_energy_kWh,total_ram_energy_kWh,seq_len,memory_access,d_model
Attention Scores,0,775,0.00045772799253463744,1610612736,5.843493888633995e-05,2.7487410876858574e-05,2.4171452892702768e-05,6.776075116778604e-06,128,1642070016,768
attention_softmax,0,775,0.00020172799825668339,65536,9.460629482841488e-05,4.479686917022718e-05,3.896883606393366e-05,1.0840589594254046e-05,128,1642070016,768
Attention Output,0,775,0.00039116800427436825,1610612736,0.00013461144658559696,6.360421754862955e-05,5.552162530615382e-05,1.548560373081359e-05,128,1642070016,768
Final Projection,0,775,0.0003790847957134247,9663676416,0.0001713799965222326,8.182167656798356e-05,7.01049519728059e-05,1.945336798144314e-05,128,1642070016,768
QKV Projections,0,801,0.000821452808380127,34024194048,1.8604215550480358e-05,9.685674418591362e-06,7.11486108077317e-06,1.8036800511158279e-06,128,1778909184,832
Attention Scores,0,801,0.00045752319097518916,1744830464,5.2210210302071496e-05,2.5329798042861284e-05,2.1198709903398357e-05,5.681702355811864e-06,128,1778909184,832
attention_softmax,0,801,0.00020131840109825135,65536,8.653555884637659e-05,4.238670057716831e-05,3.483301958861523e-05,9.315838680593057e-06,128,1778909184,832
Attention Output,0,801,0.0004616192042827606,1744830464,0.00012039518228568816,5.8537435722172405e-05,4.8758902118201046e-05,1.3098844445314702e-05,128,1778909184,832
Final Projection,0,801,0.0004046848058700562,11341398016,0.00015716115766274206,7.623628321411502e-05,6.365693131439308e-05,1.726794313423393e-05,128,1778909184,832
QKV Projections,1,827,0.0008448000192642212,39460012032,1.7509647706649153e-05,7.910228550400689e-06,7.527569133161205e-06,2.0718500230872576e-06,128,1915748352,896
Attention Scores,0,827,0.0004694015979766846,1879048192,5.4534330285161285e-05,2.581052064982714e-05,2.25179498476789e-05,6.205859787655238e-06,128,1915748352,896
attention_softmax,0,827,0.00021995519995689396,65536,9.566154032758257e-05,4.5181480591338644e-05,3.9453545007255204e-05,1.1026514728988716e-05,128,1915748352,896
Attention Output,0,827,0.00044421120285987844,1879048192,0.00013877678504438894,6.645238649554131e-05,5.646032783489295e-05,1.586407071395471e-05,128,1915748352,896
Final Projection,0,827,0.0004429823935031891,13153337344,0.00017306047589135768,8.264523278214141e-05,7.06390079000501e-05,1.9776235209166205e-05,128,1915748352,896
QKV Projections,0,853,0.0009414655923843383,45298483200,2.176513190054081e-05,9.702118872212395e-06,9.367889716527873e-06,2.695123311800543e-06,128,2052587520,960
Attention Scores,0,853,0.00047923200130462645,2013265920,5.868656142075763e-05,2.7530522025642767e-05,2.435790009741596e-05,6.7981392976989046e-06,128,2052587520,960
attention_softmax,0,853,0.0001757183998823166,65536,9.743048662730033e-05,4.5783036626545484e-05,4.047728560402492e-05,1.1170164396729922e-05,128,2052587520,960
Attention Output,0,853,0.000447078400850296,2013265920,0.00013702918224098526,6.503821869756621e-05,5.643420881399784e-05,1.5556754729421204e-05,128,2052587520,960
Final Projection,0,853,0.00042885120511054997,15099494400,0.00017922524308274122,8.538145719469981e-05,7.340888811595246e-05,2.043489777208899e-05,128,2052587520,960
QKV Projections,1,879,0.0010094592213630677,51539607552,1.9124269786913386e-05,8.949784937328787e-06,7.865240069964362e-06,2.3092447796202362e-06,128,2189426688,1024
Attention Scores,0,879,0.0004790271997451782,2147483648,5.560431872980185e-05,2.6426243361754587e-05,2.2767208269306936e-05,6.41086709874032e-06,128,2189426688,1024
attention_softmax,0,879,0.00022138880193233487,65536,9.673964846757775e-05,4.6437203815941076e-05,3.9366507437624874e-05,1.0935937214011805e-05,128,2189426688,1024
Attention Output,0,879,0.0004673535943031311,2147483648,0.00014775515227948244,7.080111219579522e-05,6.002778541107814e-05,1.692625467260908e-05,128,2189426688,1024
Final Projection,0,879,0.0004395007967948914,17179869184,0.00019294542455279838,9.178157342404347e-05,7.87676350696124e-05,2.239621605914255e-05,128,2189426688,1024
QKV Projections,1,905,0.0009787392020225523,58183385088,2.0651272150756154e-05,9.135007311300569e-06,8.914441909325249e-06,2.6018229301303336e-06,128,2326265856,1088
Attention Scores,0,905,0.0004896767973899841,2281701376,6.515179281373262e-05,3.108358042638315e-05,2.666786733427611e-05,7.400345053073353e-06,128,2326265856,1088
attention_softmax,0,905,0.00021032960116863252,65536,0.00011079132222785061,5.290704232834287e-05,4.522882801636647e-05,1.2655451883141246e-05,128,2326265856,1088
Attention Output,0,905,0.00040734720230102534,2281701376,0.0001467454356268781,7.024538953359638e-05,5.974595768561638e-05,1.675408840766532e-05,128,2326265856,1088
Final Projection,0,905,0.0004784127950668335,19394461696,0.00018965049201641546,9.073662814742533e-05,7.724579490769718e-05,2.1668068961292927e-05,128,2326265856,1088
QKV Projections,1,963,0.0010100735902786252,65229815808,1.7835933857293132e-05,8.755507003854746e-06,7.107989075275881e-06,1.972437778162503e-06,128,2463105024,1152
Attention Scores,0,963,0.0006684671938419342,2415919104,5.8109550280537305e-05,2.8150300298079856e-05,2.3354526350273087e-05,6.604723632184364e-06,128,2463105024,1152
attention_softmax,0,963,0.00020848639607429502,65536,0.00010257427460568355,4.987031767385019e-05,4.097038710961717e-05,1.1733569822216177e-05,128,2463105024,1152
Attention Output,0,963,0.0004167680025100708,2415919104,0.00014278684762154345,6.862494378765405e-05,5.7628961103132556e-05,1.6532942730756856e-05,128,2463105024,1152
Final Projection,0,963,0.0004755456030368805,21743271936,0.00018460532232094994,8.910590461823631e-05,7.422625888095949e-05,2.127315882175411e-05,128,2463105024,1152
QKV Projections,0,989,0.0011190272092819215,72678899712,2.5553688453388195e-05,1.2714621285425664e-05,9.843047096653795e-06,2.996020071308737e-06,128,2599944192,1216
Attention Scores,0,989,0.0004986880004405976,2550136832,7.558409424240434e-05,3.628708458762731e-05,3.023367752025643e-05,9.063332134520586e-06,128,2599944192,1216
attention_softmax,0,989,0.00020889600217342377,65536,0.00012468664590191303,5.969365886784317e-05,5.013577666414469e-05,1.4857210369925141e-05,128,2599944192,1216
Attention Output,0,989,0.00041205760240554804,2550136832,0.00017636804884241567,8.484701232518433e-05,7.07953084139794e-05,2.0725728103251907e-05,128,2599944192,1216
Final Projection,0,989,0.0004941824018955231,24226299904,0.00022396529474834676,0.00010766153057630845,9.007609456081816e-05,2.6227669611220094e-05,128,2599944192,1216
QKV Projections,1,1015,0.001084006404876709,80530636800,2.2205824995980363e-05,1.1037231048760532e-05,8.637395576577278e-06,2.53119837064255e-06,128,2736783360,1280
Attention Scores,0,1015,0.0005140480041503907,2684354560,7.338745706531884e-05,3.570608411962439e-05,2.9130600471128028e-05,8.550772474566404e-06,128,2736783360,1280
attention_softmax,0,1015,0.00020131840109825135,65536,0.00012896778667833954,6.271127239045881e-05,5.1241607382141374e-05,1.501490690573936e-05,128,2736783360,1280
Attention Output,0,1015,0.0004349951922893524,2684354560,0.0001676863051542915,8.072617568899432e-05,6.737634828992358e-05,1.958378117537361e-05,128,2736783360,1280
Final Projection,0,1015,0.0005177344202995299,26843545600,0.00020965221818050402,0.00010072958058131576,8.435238037073898e-05,2.4570257228449285e-05,128,2736783360,1280
QKV Projections,1,1023,0.0012384255886077882,88785027072,1.9964562089116643e-05,9.668729956757716e-06,8.010398130534579e-06,2.285434001824348e-06,128,2873622528,1344
Attention Scores,0,1023,0.0005146623969078064,2818572288,6.39886588431573e-05,3.1300913930465414e-05,2.5449675415278786e-05,7.238069497413103e-06,128,2873622528,1344
attention_softmax,0,1023,0.00021196799874305725,65536,0.00010343183070102749,4.9991484435452096e-05,4.15715301460859e-05,1.1868816119489472e-05,128,2873622528,1344
Attention Output,0,1023,0.00041840639710426334,2818572288,0.000149028412135164,7.249983577537478e-05,5.947561635823214e-05,1.705296000155711e-05,128,2873622528,1344
Final Projection,0,1023,0.0005541888117790222,29595009024,0.00019085290388276517,9.199185137163113e-05,7.686140771129861e-05,2.1999644799835498e-05,128,2873622528,1344
QKV Projections,0,783,0.00038297599554061893,1610612736,1.677182267036118e-05,7.4631170797090364e-06,7.288946442262669e-06,2.019759148389475e-06,256,1084227584,128
Attention Scores,0,783,0.0004317184090614319,1073741824,5.7352877843292045e-05,2.703774384755775e-05,2.3734585487652494e-05,6.580548508081799e-06,256,1084227584,128
attention_softmax,0,783,0.00023224319815635686,131072,0.00010150915038527604,4.827748306368562e-05,4.156231397204608e-05,1.166935334954434e-05,256,1084227584,128
Attention Output,0,783,0.00041164799928665165,1073741824,0.000142273144460743,6.758605406673724e-05,5.8231875418795565e-05,1.6455214975210245e-05,256,1084227584,128
Final Projection,0,783,0.0003483648002147675,536870912,0.00018836064392072413,9.01060720828184e-05,7.644565954536661e-05,2.1808912292539105e-05,256,1084227584,128
QKV Projections,0,609,0.0005560319900512695,3623878656,1.8878536679444037e-05,9.032007226039695e-06,7.684558092085945e-06,2.161971361318397e-06,256,1626341376,192
