,source,batch_size,input_size,hidden_size,component,gpu_util,mem_used_MB,elapsed_time_sec,FLOPs,energy_consumed_kWh,total_gpu_energy_kWh,total_cpu_energy_kWh,total_ram_energy_kWh,seq_len,peak,flops_per_second,HEF
8496,NVIDIA GeForce RTX 2080 Ti,2560,128,6400,Cell Update,0,3372,0.0017213439941406,32768000,0.000242020448565,0.0001216606528853,5.732740090865668e-05,6.303239477108303e-05,4,11340000000000.0,19036287988.653763,0.167869
8497,NVIDIA GeForce RTX 2080 Ti,2560,128,6400,Hidden Update,1,3372,0.000990208029747,32768000,0.0002537876222081,0.0001269245459845,6.042252858711031e-05,6.644054763651697e-05,4,11340000000000.0,33092036234.418625,0.291817
8498,NVIDIA GeForce RTX 2080 Ti,2560,128,6400,compute_gates,0,3372,0.0040878081321716,16777216000,0.0002181235885677,0.000110918977624,5.106699010510865e-05,5.6137620838590445e-05,4,11340000000000.0,4104208284131.795,36.192313
8499,NVIDIA GeForce RTX 2080 Ti,2560,128,6400,hidden_gates,85,3372,0.1454160003662109,838860800000,0.0002002885083038,9.961174635542136e-05,4.794028635604062e-05,5.273647559234036e-05,4,11340000000000.0,5768696690099.028,50.870341
8500,NVIDIA GeForce RTX 2080 Ti,2560,192,640,Activations,0,3372,0.0002301760017871,6553600,0.000201422700674,8.973007178347814e-05,5.31952286773756e-05,5.849740021324381e-05,4,11340000000000.0,28472125456.682995,0.251077
8501,NVIDIA GeForce RTX 2080 Ti,2560,192,640,Cell Update,0,3372,0.0002455359995365,3276800,0.0002132774151923,9.499952044400573e-05,5.632909995814166e-05,6.19487947901943e-05,4,11340000000000.0,13345497223.159283,0.117685
8502,NVIDIA GeForce RTX 2080 Ti,2560,192,640,Hidden Update,0,3372,0.0001679359972476,3276800,0.0002249560356713,0.0001001900801522,5.941713037391311e-05,6.534882514519138e-05,4,11340000000000.0,19512195441.74785,0.172065
8503,NVIDIA GeForce RTX 2080 Ti,2560,192,640,compute_gates,0,3372,0.0006010879874229,2516582400,0.0001898221708924,8.45659009858224e-05,5.013126279033412e-05,5.5125007116284346e-05,4,11340000000000.0,4186712183002.6514,36.919861
8504,NVIDIA GeForce RTX 2080 Ti,2560,192,640,hidden_gates,1,3372,0.0009694399833679,8388608000,0.0001779235721858,7.924673006343141e-05,4.6999943268909e-05,5.167689885349935e-05,4,11340000000000.0,8653045205395.19,76.305513
8505,NVIDIA GeForce RTX 2080 Ti,2560,192,1280,Activations,0,3372,0.0003736000061035,13107200,0.0002035703621435,9.116035070633188e-05,5.355901704574029e-05,5.885099439143219e-05,4,11340000000000.0,35083511204.14291,0.309378
8506,NVIDIA GeForce RTX 2080 Ti,2560,192,1280,Cell Update,0,3372,0.0004114559888839,6553600,0.0002154345106327,9.643424381522436e-05,5.669520069237074e-05,6.230506612511707e-05,4,11340000000000.0,15927827464.067417,0.140457
8507,NVIDIA GeForce RTX 2080 Ti,2560,192,1280,Hidden Update,0,3372,0.0002618559896945,6553600,0.0002272893271944,0.0001017056369203,5.982853855037117e-05,6.575515172375088e-05,4,11340000000000.0,25027497013.323624,0.220701
8508,NVIDIA GeForce RTX 2080 Ti,2560,192,1280,compute_gates,1,3372,0.0010711040496826,5033164800,0.0001917104428419,8.586034646640428e-05,5.042018937981791e-05,5.5429906995702746e-05,4,11340000000000.0,4699043759092.757,41.437776
8509,NVIDIA GeForce RTX 2080 Ti,2560,192,1280,hidden_gates,0,3372,0.0035358080863952,33554432000,0.000179412180538,8.027145310762762e-05,4.722705875602616e-05,5.191366867442176e-05,4,11340000000000.0,9489890621922.627,83.685102
8510,NVIDIA GeForce RTX 2080 Ti,2560,192,1920,Activations,0,3372,0.0005314559936523,19660800,0.0002062095348832,9.271562972834602e-05,5.4035639533443225e-05,5.94582656214983e-05,4,11340000000000.0,36994220095.03743,0.326228
8511,NVIDIA GeForce RTX 2080 Ti,2560,192,1920,Cell Update,0,3372,0.000573440015316,9830400,0.0002182019508558,9.805118955164004e-05,5.720375950978552e-05,6.294700179441593e-05,4,11340000000000.0,17142856684.988852,0.151172
8512,NVIDIA GeForce RTX 2080 Ti,2560,192,1920,Hidden Update,0,3372,0.0003450880050659,9830400,0.0002300819308112,0.0001033364715574,6.0341961659287335e-05,6.640349759444992e-05,4,11340000000000.0,28486646466.088352,0.251205
8513,NVIDIA GeForce RTX 2080 Ti,2560,192,1920,compute_gates,0,3372,0.0016230399608612,7549747200,0.0001943474931414,8.740701436948939e-05,5.091700342850851e-05,5.60234753434806e-05,4,11340000000000.0,4651608944978.801,41.019479
8514,NVIDIA GeForce RTX 2080 Ti,2560,192,1920,hidden_gates,0,3372,0.0078114562034606,75497472000,0.0001818956496999,8.16203430744622e-05,4.774530990940144e-05,5.25299967160476e-05,4,11340000000000.0,9664967713261.121,85.228992
