,duration,energy_joules,num_repeats,total_gpu_energy_kWh,total_cpu_energy_kWh,total_ram_energy_kWh,energy_wh_std_codecarbon,power_watt_std,time_sec_std,params,seq_length,batch_size,num_layers,d_model,num_attention_heads,model,source,peak,component,total_energy_kWh,flops_counts,HEF,FLOPs_QKV Projections,HEF_QKV Projections,duration_QKV Projections,FLOPs_Attention Scores,HEF_Attention Scores,duration_Attention Scores,FLOPs_Attention Output,HEF_Attention Output,duration_Attention Output,FLOPs_Final Projection,HEF_Final Projection,duration_Final Projection
69428,0.753287353515625,73.56604294433593,1,0.7267711525275615,0.1757349751753675,0.0975222139452596,0.0,0.0,0.0,18843112,768,256,4,640,4,bert,a100,156.0,Projections,1.0000283416481883,2.192029581312,1.8653534550259063,0.4831838208,67.80878723616757,182.70978207162756,0.19327352832,61.949061951652055,79.99687709964519,0.19327352832,61.949061951652055,7.999687709964519e-05,0.1610612736,59.657543210552795,69.2247119794791
93710,0.8361795043945313,71.97833173828126,1,0.4645045360477748,0.0994320860602807,0.1103087854709651,0.0,0.0,0.0,13778152,256,160,6,384,12,gpt,grid,11.34,Projections,0.6742454075790209,0.4031535104,4.2516535931247255,0.03623878656,77.2091085120896,248.3380719239212,0.00805306368,62.51000417885316,68.16317339824607,0.00805306368,62.51000417885316,6.816317339824607e-05,0.01207959552,67.51766945325852,94.6614483691117
70085,1.161040283203125,108.95202017578126,1,1.0905473160482622,0.2625807365477547,0.1458244926264802,0.0,0.0,0.0,52972520,512,320,6,1024,8,bert,a100,156.0,Projections,1.498952545222495,4.299485184,2.3738024304809304,1.03079215104,68.41196146355554,579.5163757173822,0.17179869184,60.511732369657175,109.19604736286595,0.17179869184,60.511732369657175,0.00010919604736286595,0.34359738368,66.62806889976443,198.34409440221717
67295,1.312236328125,128.94034160156252,1,0.9974828590967596,0.2404195673641111,0.1334902502281864,0.0,0.0,0.0,19006952,1024,320,4,640,2,bert,a100,156.0,Projections,1.371392676689055,3.65338263552,1.7846723914376115,0.805306368,68.36054313263064,302.05847239550195,0.4294967296,67.50415293799864,163.14161687985714,0.4294967296,67.50415293799864,0.00016314161687985715,0.268435456,65.08852327717696,105.74768121479096
72645,0.3409549560546875,32.89533416015625,1,0.9831724182039672,0.2371213138407881,0.1316457705777146,0.0,0.0,0.0,9638376,512,320,4,384,8,bert,a100,156.0,Projections,1.351939502622468,1.09621133312,2.0609748004370143,0.14495514624,58.16735648631654,63.8983589087947,0.06442450944,43.98314592879304,37.55780682754971,0.06442450944,43.98314592879304,3.755780682754971e-05,0.04831838208,38.54815506035785,32.13987470752517
72675,0.938023681640625,92.33905122070313,1,0.9987714981832276,0.2407276301441722,0.1336620097270107,0.0,0.0,0.0,18843112,768,320,4,640,4,bert,a100,156.0,Projections,1.3731611380544084,2.74003697664,1.872483599041521,0.603979776,68.16681116888297,227.1876981997704,0.2415919104,64.22201143679001,96.4570282157515,0.2415919104,64.22201143679001,9.64570282157515e-05,0.201326592,62.409402820231264,82.71542547141422
72325,0.6694070434570313,66.4988956970215,1,0.8192676876358505,0.1974035595291101,0.1095403654654933,0.0,0.0,0.0,35014120,512,256,6,768,2,bert,a100,156.0,Projections,1.1262116126304542,2.579789381632,2.4704119238595155,0.463856467968,67.71379459789664,263.47118027171956,0.103079215104,52.65159812902337,75.29847786561824,0.103079215104,52.65159812902337,7.529847786561823e-05,0.154618822656,59.093900904571655,100.63437517968073
33808,1.458936767578125,145.00372532958986,1,0.8000335655818986,0.1971987765338948,0.1098205990764754,0.0,0.0,0.0,35648488,1280,160,4,1024,2,gpt,a100,156.0,Projections,1.1070529411922698,3.6530141184,1.6050563458005946,1.2884901888,68.42487483912457,482.8391728433224,0.536870912,68.00850897637451,202.4146835110731,0.536870912,68.00850897637451,0.0002024146835110731,0.4294967296,67.50415293799864,163.14161687985714
97835,1.17851806640625,101.11685009765624,1,0.5050909374057593,0.1089248844226606,0.1208418496102923,0.0,0.0,0.0,18351592,256,192,4,640,4,gpt,grid,11.34,Projections,0.7348576714387125,0.548007395328,4.10050287000434,0.1207959552,80.92773927217746,526.5042978203053,0.01610612736,70.663643959715,80.39740598710819,0.01610612736,70.663643959715,8.039740598710819e-05,0.0402653184,77.7931744047843,182.57301220273504
40288,0.6081296997070312,59.27440183044433,1,0.7907873787405073,0.1950416402531871,0.1086166224624407,0.0,0.0,0.0,29358568,768,160,4,896,2,gpt,a100,156.0,Projections,1.0944456414561368,1.9178784768,2.0216234803073627,0.59190018048,68.14383502925358,222.71901336489293,0.16911433728,60.307548366891325,71.90252590075666,0.16911433728,60.307548366891325,7.190252590075666e-05,0.19730006016,62.18404990719609,81.35487973344472
